Tipo, Frecuencia
T, 554
he</w>, 542
Project</w>, 85
Gutenberg, 85
</w>, 1192
E, 417
B, 414
o, 1300
k, 49
of</w>, 107
Don</w>, 97
Quijote,</w>, 531
b, 1248
y</w>, 16150
M, 758
igu, 209
el</w>, 8131
de</w>, 18395
C, 755
er, 1910
v, 1283
antes</w>, 333
S, 693
a, 1374
av, 386
ed, 507
ra</w>, 460
hi, 254
s</w>, 328
e, 1435
is</w>, 115
f, 1024
or</w>, 707
the</w>, 159
u, 1100
se</w>, 5192
an, 979
y, 678
on, 985
e</w>, 1620
w, 121
her, 241
at, 668
no</w>, 5805
cos, 359
t</w>, 100
and</w>, 69
wit, 58
h</w>, 81
al, 1401
mos, 130
r, 1886
est, 1114
ri, 1034
c, 1440
ti, 787
h, 702
so, 443
ver, 678
.</w>, 1028
Y, 86
u</w>, 105
ma, 141
co, 314
p, 1418
it, 164
,</w>, 1199
gi, 189
ve</w>, 175
re, 1806
-, 1090
un, 565
der</w>, 111
ter, 286
m, 1389
L, 528
i, 1958
cen, 86
in, 1611
lu, 213
de, 740
d</w>, 159
t, 1963
lin, 94
., 173
gu, 463
tenberg, 6
or, 932
g, 1539
le, 529
:</w>, 452
Quijote</w>, 894
A, 817
hor, 136
P, 517
os, 795
ing, 148
D, 511
e:</w>, 146
pri, 206
l</w>, 242
2, 16
7, 8
0, 35
1, 66
[, 1
#, 1
], 2
R, 417
el, 564
ase</w>, 534
ec, 531
emb, 72
er,</w>, 330
9, 12
ag, 493
is, 98
*, 28
O, 338
F, 320
H, 407
I, 332
J, 129
G, 330
U, 135
N, 267
K, 6
Q, 16
E</w>, 71
ro, 281
du, 531
ced, 72
an</w>, 907
mo, 320
volunt, 80
er.</w>, 61
ex, 156
fi, 510
le</w>, 3959
cor, 484
rec, 159
n, 819
aqu, 250
in</w>, 109
Cu, 130
en, 1476
ca</w>, 492
a.</w>, 1584
El</w>, 243
ingen, 78
oso</w>, 353
hid, 88
algo</w>, 157
don</w>, 2533
la</w>, 10640
Manch, 69
a</w>, 12836
A</w>, 332
o,</w>, 3069
allo</w>, 24
nd, 121
ada,</w>, 361
escri, 173
ano</w>, 115
á, 735
mar, 146
del</w>, 2471
nuestro</w>, 182
señor,</w>, 170
los</w>, 4986
que</w>, 19653
res, 193
id, 396
en</w>, 8760
su</w>, 3319
sej, 53
cer, 192
co</w>, 510
d, 2093
oy</w>, 117
fe</w>, 77
que,</w>, 1204
habiendo</w>, 84
visto</w>, 200
por</w>, 3779
señores</w>, 69
dél</w>, 84
un</w>, 1936
libro</w>, 81
tu, 335
lado</w>, 57
Mancha,</w>, 101
com, 651
puesto</w>, 315
ra,</w>, 140
as, 1051
aron</w>, 713
cada</w>, 231
pli, 99
ego</w>, 151
dicho</w>, 175
tres</w>, 219
ís</w>, 66
medi, 172
o;</w>, 871
cual</w>, 534
tiene</w>, 353
och, 80
enta</w>, 81
eg, 443
os,</w>, 1800
al</w>, 2042
pre, 328
cio</w>, 205
mon, 228
ta</w>, 488
oci, 111
entos</w>, 225
no, 159
venta</w>, 71
ha</w>, 1040
ender</w>, 55
pap, 70
;</w>, 900
dieron</w>, 123
licencia</w>, 60
para</w>, 1439
este</w>, 628
pueda</w>, 75
vend, 67
mand, 284
esta</w>, 656
pon, 420
ga</w>, 286
princi, 126
pio</w>, 92
libr, 133
sin</w>, 1139
ell, 401
Y,</w>, 322
del, 139
lo</w>, 3838
con, 1058
st, 507
e,</w>, 1362
di, 1574
pres, 255
ente</w>, 485
V, 389
all, 309
ad, 1163
ol, 484
ve, 397
te</w>, 1077
días</w>, 183
es</w>, 3764
deci, 55
em, 491
bre</w>, 209
mil</w>, 183
se, 601
ci, 1178
cuatro</w>, 146
añ, 493
os.</w>, 616
ada.</w>, 75
ste</w>, 202
cosa</w>, 381
dig, 161
respon, 194
da</w>, 754
ori, 270
estim, 93
io</w>, 247
haber</w>, 251
to,</w>, 241
fe, 75
e.</w>, 572
En</w>, 330
re</w>, 119
Dios</w>, 365
ó, 493
lo, 233
gos</w>, 99
ni, 246
si, 705
dad</w>, 350
Al, 107
cal, 218
á,</w>, 92
primero</w>, 148
dici, 220
6, 11
4, 11
licenci, 61
ado</w>, 2238
anci, 118
s, 1404
ur, 237
cia</w>, 62
l, 1807
Y</w>, 635
Por</w>, 89
cuanto</w>, 216
parte</w>, 287
vos,</w>, 64
antes,</w>, 165
nos</w>, 533
fue</w>, 611
ech, 406
ación</w>, 301
hab, 389
í, 1033
ades</w>, 79
os</w>, 2848
había</w>, 1007
mucho</w>, 240
trabaj, 140
o</w>, 3959
era</w>, 1227
muy</w>, 530
ú, 404
provech, 72
oso,</w>, 118
pedi, 122
su, 693
cas, 407
mos</w>, 300
dar</w>, 462
cul, 204
ad</w>, 232
poder</w>, 93
im, 447
mir, 392
vi, 1285
leg, 47
tiempo</w>, 253
fu, 362
é, 714
servi, 230
dos,</w>, 96
como</w>, 2237
nuestra</w>, 132
merced</w>, 678
es, 1483
e;</w>, 376
hicieron</w>, 58
las</w>, 3742
lig, 147
encias</w>, 76
má, 174
amente</w>, 261
sobre</w>, 450
ión</w>, 120
libros</w>, 104
dis, 135
ac, 1072
dado</w>, 209
deb, 175
amos</w>, 341
ar</w>, 2413
dich, 123
raz, 144
ón, 131
bi, 482
en.</w>, 104
cual,</w>, 169
hacer</w>, 485
bien</w>, 864
merced,</w>, 187
persona</w>, 94
vuestro</w>, 151
hubi, 129
otra</w>, 460
alguna,</w>, 62
pod, 259
áis</w>, 158
mir</w>, 62
des, 1617
so</w>, 259
hace</w>, 132
enci, 254
ón,</w>, 288
todos</w>, 703
estos</w>, 292
nuestros</w>, 67
rein, 194
lla,</w>, 87
espaci, 90
diez</w>, 60
corr, 110
cuent, 141
desde</w>, 163
día</w>, 223
desta</w>, 221
a;</w>, 1012
pena</w>, 83
person, 107
as</w>, 2812
tener</w>, 258
mi, 548
ere</w>, 157
ven, 483
hici, 125
mesmo</w>, 199
caso</w>, 89
pi, 928
con</w>, 4052
mol, 146
des</w>, 106
par, 539
ejos</w>, 75
dell, 67
más,</w>, 192
cur, 243
cin, 224
cuenta</w>, 187
vez</w>, 159
contr, 122
ario</w>, 107
La</w>, 142
sea</w>, 224
acu, 137
ar, 1895
a,</w>, 3584
ju, 291
ez</w>, 85
sent, 285
Con</w>, 149
tanto</w>, 353
todas</w>, 342
veces</w>, 151
dur, 66
ante</w>, 272
tra, 338
ig, 57
junt, 103
él</w>, 1069
vist, 90
va</w>, 265
ru, 292
bri, 99
pl, 300
ana</w>, 146
firm, 95
fin</w>, 129
Es, 74
cri, 263
en,</w>, 242
saber</w>, 204
si</w>, 1785
está</w>, 416
for, 159
me</w>, 2843
li, 655
ma</w>, 231
cómo</w>, 211
tor</w>, 110
nombr, 74
ado,</w>, 624
vio</w>, 233
corri, 86
ó</w>, 2399
al,</w>, 137
él,</w>, 217
qued, 444
err, 325
ap, 379
unt, 33
adas,</w>, 101
así</w>, 484
fuer, 242
vol, 142
ni</w>, 1350
prim, 70
er</w>, 722
entre, 176
más</w>, 1837
solo</w>, 70
au, 202
tor, 174
cuya</w>, 82
otro</w>, 412
algun, 137
ef, 115
eto</w>, 111
reci, 136
ón</w>, 362
hasta</w>, 377
é</w>, 490
reg, 100
ido</w>, 352
y,</w>, 1382
estando</w>, 70
hech, 210
manera,</w>, 60
ego,</w>, 87
suc, 130
esi, 88
pr, 570
ob, 323
ación,</w>, 63
as,</w>, 1753
ca, 361
r</w>, 577
penas</w>, 38
ten, 560
das</w>, 262
ley, 93
cas</w>, 103
otras</w>, 261
cual, 110
qui, 462
j, 804
us, 234
ellos,</w>, 103
guard, 69
cum, 42
ella</w>, 505
o.</w>, 1476
seis</w>, 72
señor, 189
ez, 393
qu, 306
et, 508
É, 114
és</w>, 123
br, 543
alc, 65
z, 710
es,</w>, 1284
eb, 81
oc, 148
señor</w>, 732
llas</w>, 81
gui, 96
buen</w>, 439
miento</w>, 197
honra</w>, 63
uest, 80
x, 75
cel, 276
encia</w>, 331
toda</w>, 304
suerte</w>, 102
ín, 179
pe</w>, 72
tan</w>, 1269
cl, 152
favor, 61
buenas</w>, 75
art, 77
may, 184
eza</w>, 251
ab, 611
gran, 60
ías</w>, 98
vu, 46
go,</w>, 212
determin, 127
sac, 296
luz</w>, 61
gen, 19
abri, 102
go</w>, 569
clar, 117
ísimo</w>, 114
nombre</w>, 132
encia,</w>, 121
amiento</w>, 69
tanta</w>, 143
grande, 92
za,</w>, 83
ba</w>, 128
agrad, 72
ot, 368
ción,</w>, 101
som, 74
aunque</w>, 511
desnu, 58
do</w>, 1013
aquel</w>, 478
am, 1031
ento</w>, 387
ancia</w>, 68
dición</w>, 25
suelen</w>, 58
andar</w>, 62
vesti, 91
obr, 135
