Tipo, Frecuencia
el</w>, 8444
ing, 116
en, 2259
i, 3028
oso</w>, 571
hi, 445
d, 3347
algo</w>, 200
don</w>, 2647
quijote</w>, 2175
de</w>, 18958
la</w>, 11804
mancha</w>, 174
t, 2579
as, 917
a</w>, 12909
yo</w>, 2341
ju, 736
an</w>, 1369
g, 2538
allo</w>, 52
and, 486
r, 3317
ada</w>, 1250
escri, 281
b, 2791
ano</w>, 259
c, 2056
á, 950
mar, 290
del</w>, 2501
rey</w>, 175
nuestro</w>, 213
señor</w>, 1062
los</w>, 5304
que</w>, 20859
res, 274
den</w>, 180
en</w>, 9443
su</w>, 3352
conse, 141
jo</w>, 378
cer, 297
ti, 1679
fi, 664
co</w>, 832
y</w>, 18367
do, 476
f, 2017
e</w>, 2059
habi, 168
endo</w>, 968
visto</w>, 284
por</w>, 3940
señores</w>, 151
él</w>, 1455
un</w>, 1938
libr, 169
o</w>, 4126
in, 1794
tu, 565
l, 2376
ado</w>, 2919
com, 651
puesto</w>, 362
mi, 1433
gu, 1017
v, 1500
antes</w>, 573
s, 2317
a, 3736
av, 405
ed, 409
ra</w>, 941
aron</w>, 811
cada</w>, 251
pli, 233
ego</w>, 215
dicho</w>, 375
tres</w>, 241
ís</w>, 157
medio</w>, 175
cual</w>, 704
tiene</w>, 411
o, 1862
ch, 628
enta</w>, 137
e, 2203
gos</w>, 222
al</w>, 2301
pre, 294
cio</w>, 597
mon, 340
ta</w>, 1487
ci, 1630
entos</w>, 420
no, 276
venta</w>, 144
se</w>, 5282
ha</w>, 1052
ven, 780
der</w>, 139
p, 2609
ap, 376
dieron</w>, 156
lic, 152
encia</w>, 573
para</w>, 1471
este</w>, 654
pued, 210
man, 669
esta</w>, 839
pon, 413
ga</w>, 697
princi, 186
pi, 1103
no</w>, 6968
sin</w>, 1156
ella</w>, 750
ello</w>, 285
con, 1379
ste</w>, 155
di, 2442
</w>, 1019
pres, 334
ente</w>, 576
all, 294
ad, 1411
li, 1036
d</w>, 278
ve, 508
te</w>, 1823
días</w>, 240
m, 2358
es</w>, 4641
deci, 187
em, 536
bre</w>, 389
mil</w>, 191
se, 1043
cuatro</w>, 160
años</w>, 167
est, 1671
im, 541
on, 1071
io</w>, 368
las</w>, 3867
err, 177
at, 859
as</w>, 3787
cosa</w>, 451
dig, 138
na</w>, 211
cor, 857
respon, 277
da</w>, 1534
ori, 372
lo</w>, 4363
haber</w>, 254
re, 2623
to</w>, 1258
co, 1047
le, 1153
gi, 493
mad, 148
re</w>, 320
dios</w>, 552
te, 157
ó, 614
lo, 407
un, 527
ver, 894
si, 1573
dad</w>, 785
al, 2035
cal, 272
á</w>, 426
primero</w>, 190
dici, 158
1, 8
6, 4
0, 2
4, 2
enci, 398
fr, 343
an, 1549
mu, 729
cia</w>, 377
ll, 643
ana</w>, 418
cuanto</w>, 238
parte</w>, 386
vos</w>, 306
nos</w>, 715
fue</w>, 651
ech, 326
ación</w>, 387
hab, 487
í, 972
os</w>, 3664
había</w>, 1034
cos, 237
tado</w>, 181
mucho</w>, 293
trab, 166
ajo</w>, 239
era</w>, 1842
muy</w>, 535
ú, 376
l</w>, 361
prove, 141
pe, 679
st, 601
su, 1449
cas, 406
tes</w>, 322
mos</w>, 410
dar</w>, 525
cul, 186
ad</w>, 440
le</w>, 4271
pod, 509
er</w>, 1185
pri, 307
r</w>, 711
vi, 2165
tiempo</w>, 337
fu, 558
é, 959
servi, 219
dos</w>, 1233
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hici, 193
eron</w>, 707
lig, 244
ca</w>, 859
amente</w>, 397
sobre</w>, 454
ón</w>, 719
libros</w>, 147
dis, 314
ac, 942
or, 1659
dado</w>, 384
deb, 336
amos</w>, 458
du, 514
cha</w>, 160
razón</w>, 157
os, 863
bien</w>, 1049
hacer</w>, 546
persona</w>, 136
vuestro</w>, 162
hubi, 202
ere</w>, 366
otra</w>, 517
alguna</w>, 384
áis</w>, 209
des, 1585
u, 1482
so</w>, 461
hace</w>, 159
todos</w>, 817
estos</w>, 307
nuest, 125
ros</w>, 254
rein, 136
casti, 78
lla</w>, 277
esp, 835
aci, 508
ez</w>, 187
cu, 1705
ent, 1035
desde</w>, 169
día</w>, 350
desta</w>, 234
pen, 430
person, 66
tener</w>, 272
mesmo</w>, 270
er, 1709
con</w>, 4202
ol, 595
des</w>, 161
apar, 138
jos</w>, 209
más</w>, 2186
cur, 265
cin, 258
cuenta</w>, 230
vez</w>, 193
contr, 235
ario</w>, 150
sea</w>, 285
ter, 518
acu, 161
ar, 2130
sent, 225
tanto</w>, 428
todas</w>, 374
veces</w>, 207
ante</w>, 437
dich, 136
tra, 633
ig, 140
j, 1301
unt, 163
va</w>, 444
ru, 539
bri, 302
pl, 329
fir, 146
fin</w>, 234
saber</w>, 247
si</w>, 2083
está</w>, 440
for, 395
me</w>, 3258
ma</w>, 676
cómo</w>, 275
tor</w>, 218
n, 1789
ombr, 86
vio</w>, 300
ri, 1580
ó</w>, 3185
qued, 571
adas</w>, 483
así</w>, 1065
fuer, 206
ase</w>, 649
vol, 336
or</w>, 994
ni</w>, 1376
prim, 141
entre, 176
so, 1008
au, 428
ya</w>, 1196
otro</w>, 520
alguno</w>, 142
eto</w>, 154
ción</w>, 500
hasta</w>, 386
é</w>, 666
ido</w>, 565
ando</w>, 1437
hecho</w>, 281
manera</w>, 335
esi, 214
pro, 928
ca, 1061
ten, 997
das</w>, 509
y, 773
cas</w>, 240
otras</w>, 288
es, 1104
qui, 998
sti, 196
ellos</w>, 449
guar, 265
cum, 149
is</w>, 233
tiem, 53
am, 1394
ez, 144
que, 154
duque</w>, 201
ar</w>, 3324
qu, 352
és</w>, 172
br, 644
ale, 158
z, 1361
añ, 377
pue, 209
llas</w>, 180
bu, 315
gui, 172
buen</w>, 442
miento</w>, 325
hon, 348
vuestra</w>, 852
ex, 159
cel, 161
toda</w>, 320
suerte</w>, 141
pr, 535
ín, 100
tan</w>, 1344
cl, 181
ec, 539
buen, 310
may, 295
mente</w>, 74
za</w>, 639
ab, 1005
gran, 128
ías</w>, 255
vu, 63
go</w>, 646
he</w>, 537
de, 1258
min, 159
sac, 311
lu, 455
z</w>, 196
clar, 139
ísimo</w>, 137
nombre</w>, 179
quien</w>, 618
ami, 315
ento</w>, 778
tanta</w>, 150
reci, 278
ba</w>, 206
agrad, 143
aunque</w>, 531
nu, 152
do</w>, 1749
aquel</w>, 487
el, 800
gan, 152
esti, 315
hombr, 148
sab, 592
parecer</w>, 203
segu, 192
alg, 295
unos</w>, 259
ni, 616
éndo, 283
den, 272
menos</w>, 347
aj, 340
ojos</w>, 314
mi</w>, 1706
deseo</w>, 159
ío</w>, 147
ñ, 352
ará</w>, 155
