Tipo, Frecuencia
T, 1103
he</w>, 701
P, 1804
r, 7700
oj, 698
ec, 1142
t, 7069
</w>, 4486
G, 459
u, 3707
ten, 1773
b, 4345
er, 6662
g, 5874
E, 1543
B, 501
o, 4300
k, 127
of, 342
D, 1290
on</w>, 371
Quijote,</w>, 531
y</w>, 16814
M, 1157
i, 7663
gu, 1761
el</w>, 8131
de</w>, 19222
C, 1599
v, 3590
antes</w>, 490
S, 1153
a, 6094
av, 492
ed, 1269
ra</w>, 1530
hi, 1376
s</w>, 1161
e, 3591
is</w>, 345
f, 2979
or</w>, 1910
se</w>, 5817
an, 3437
y, 1448
on, 2770
e</w>, 5197
w, 257
her, 576
at, 1538
no</w>, 5896
cos, 652
and, 1764
h, 2170
al, 4126
mos, 657
est, 3757
ri, 2043
c, 6422
ti, 2644
so, 946
ver, 1227
.</w>, 1988
Y, 656
m, 6566
co, 610
p, 5311
,</w>, 4892
gi, 362
re, 4074
-, 3988
un, 1562
d, 7362
er</w>, 2556
ter, 413
L, 1232
en, 4578
in, 3618
lu, 617
de, 1277
l, 6019
., 299
or, 3132
le, 683
:</w>, 1202
Quijote</w>, 894
A, 1964
os, 2454
ing, 527
pri, 584
l</w>, 668
2, 16
7, 8
0, 35
1, 66
[, 1
#, 1
], 2
R, 734
el, 3728
ase</w>, 534
em, 1427
er,</w>, 416
9, 12
ag, 1072
s, 5451
*, 28
O, 421
F, 535
H, 407
I, 440
J, 129
U, 135
N, 329
K, 6
Q, 307
ro, 389
du, 1281
ced, 130
an</w>, 1802
mo, 613
vol, 772
unt, 714
x, 231
fi, 910
le</w>, 4606
cor, 978
n, 4203
aqu, 923
ca</w>, 638
a.</w>, 1985
oso</w>, 565
go</w>, 1027
don</w>, 2533
la</w>, 11099
anch, 234
a</w>, 18866
o,</w>, 7370
lo</w>, 4731
nd, 121
ada,</w>, 361
es, 3851
cri, 723
o</w>, 10205
á, 2432
ar, 5538
del</w>, 2471
nuest, 459
ro</w>, 657
señor, 587
los</w>, 4986
que</w>, 19779
id, 472
en</w>, 9697
su</w>, 3319
se, 1723
j, 2295
co</w>, 832
que,</w>, 1337
hab, 1403
endo</w>, 1114
vi, 4389
sto</w>, 409
por</w>, 3779
es</w>, 5835
él</w>, 1153
un</w>, 2181
li, 1666
br, 1623
tu, 1623
ado</w>, 2580
a,</w>, 6819
com, 1393
pu, 2389
esto</w>, 951
as, 2266
aron</w>, 713
ada</w>, 1134
ego</w>, 433
dich, 555
tr, 2846
í, 3259
medi, 372
o;</w>, 1078
cual</w>, 534
tiene</w>, 353
ch, 1282
ent, 3754
eg, 1173
os,</w>, 2828
al</w>, 2165
pre, 606
ci, 3731
ta</w>, 868
oci, 356
os</w>, 7593
no, 391
vent, 916
ha</w>, 1040
end, 977
ap, 691
;</w>, 1762
di, 3649
eron</w>, 887
lic, 466
encia</w>, 391
para</w>, 1439
este</w>, 770
esta</w>, 971
pon, 561
ga</w>, 365
pr, 1339
pi, 1615
sin</w>, 1139
ell, 855
con, 2182
st, 1875
e,</w>, 2926
pres, 371
ente</w>, 951
V, 566
all, 640
ad, 4011
ol, 1372
ve, 397
